155: 4 - sibocha, sicacha, sichaca, soacha
156: 4 - hucza, huesa, hueza, huezo
157: 4 - cabas, casas, cañas, sabas
158: 4 - real, reay, rey, riay
159: 4 - mancipe, manzipe, marcipe, moncipe
160: 4 - munar, munebar, munevar, munrvar
161: 4 - caldas, caldes, caldez, valdes
162: 4 - quinche, quincho, quincos, quiros
163: 4 - isasa, isaza, izaza, saza
164: 4 - lagos, largo, largos, larios
165: 4 - camejo, camelo, camero, canelo
166: 4 - siuta, suta, sutha, sutta
167: 4 - moran, moron, moros, moroy
168: 4 - gamez, gmez, gomez, gpmez
169: 4 - congua, mengua, mongua, mongui
170: 4 - guanaro, guanay, guayabo, guayara
171: 4 - gerrero, pedreros, terreros, tigreros
172: 4 - quiceno, quijano, quitana, tijano
173: 4 - tavar, tobar, tova, tovar
174: 4 - varga, vargas, vargaz, vargsa
175: 4 - cifentes, cifuentes, cufuentes, sifuentes
176: 4 - cipamocha, cipamoha, cipamopcha, zipamocha
177: 4 - bhorquez, bohorequez, bohorque, bohorquez
178: 4 - guaiteros, gualtereos, gualtero, gualteros
179: 4 - dueñas, dueñaz, dueñes, dueñez
180: 4 - pinilla, pinillla, pinillo, pinillos
181: 4 - quibay, quimbay, quimbaya, quimbayo
182: 4 - herrada, herrara, serrada, terraza
183: 4 - montanez, montaqez, montañes, montañez
184: 4 - apnte, aponte, apopnte, apornte
185: 4 - liano, libano, lievano, livano
186: 4 - madina, medidna, mediina, medina
187: 4 - ballares, millares, molares, pallares
188: 4 - laiton, layton, leiton, leyton
189: 4 - corte, cortes, cortez, corts
190: 4 - grimaldo, grimaldos, grismaldo, grismaldos
191: 4 - chipata, chisaba, chisica, chivata
192: 4 - caicedo, caidedo, caisedo, caycedo
193: 4 - galicia, garcia, gavidia, gaviria
194: 4 - marcelo, mareno, martelo, morelo
195: 4 - ciacuamia, cicuamia, sicuamia, sicuariza
196: 4 - cabrera, capera, carera, carrera
197: 4 - humaña, omaña, umaña, uraña
198: 4 - seerano, serano, serrano, serrrano
199: 4 - faracica, fracica, francica, frasica
200: 4 - higua, higuera, higuita, higura
201: 4 - archila, archilla, arcila, arcilia
202: 4 - acevado, acevdo, acevedi, acevedo
203: 4 - montoa, montoya, montña, nontoa
204: 4 - duzman, guaman, guzaman, guzman
205: 4 - marchan, mercan, mercgan, merchan
206: 4 - hostios, hostos, ostios, ostos
207: 4 - cocunubo, cucunuba, cucunubo, cucunuva
208: 4 - balderrama, valderra, valderrama, valderrma
209: 4 - caceres, caceress, cacerez, caseres
