nuncira	nuncira (1)(1.0): nuncira
mondoza	mendoza (4)(0.8660714328289032): mandoza, mendoza, mjendoza, mondoza
atehortua	atehortua (1)(1.0): atehortua
soler	soler (3)(0.8166666626930237): sole, soler, solera
sacedo	sacedo (7)(0.8015873034795126): caicedo, caycedo, sacedo, salcedo, saucedo, slacedo, slcedo
benedetti	benedetti (1)(1.0): benedetti
mariño	mariño (5)(0.8333333134651184): marino, mario, mariño, meriño, nariño
guadia	guadia, guardia, guaydia (3)(0.8571428656578064): guadia, guardia, guaydia
zanguña	sanguña, zanguña (4)(0.7142857313156128): anguta, sanguña, tangua, zanguña
gonzlaez	gonzalez (13)(0.8379629651705424): ganzalez, gomzalez, gonazalez, gonzaez, gonzale, gonzalea, gonzales, gonzalez, gonzalñez, gonzaqlez, gonzlaez, gonzxalez, gozalez
roberto	roberto (1)(1.0): roberto
moore	moore (1)(1.0): moore
villegas	villegas (1)(1.0): villegas
españa	español (5)(0.7202380895614624): esparza, españa, españoal, español, española
urueña	uruena, urueña (4)(0.7499999701976776): urena, ureña, uruena, urueña
cobiativa	caviativa, cobiativa (2)(0.7777777910232544): caviativa, cobiativa
ernandez	hernandez (15)(0.8555555542310079): ernandez, fernadez, fernandez, fernanez, henandez, herandez, hernadez, hernanadez, hernande, hernandez, hernandz, hernanedz, hernendez, hernnadez, hrnandez
carvajal	carvajal (7)(0.8379629651705424): carvaja, carvajal, carvajas, carvalja, carvasjal, carvjal, cavajal
moncaliano	moncaleano, moncaliano (2)(0.8999999761581421): moncaleano, moncaliano
mende	mende (4)(0.8166666626930237): hende, mende, mendes, mendez
cuchimaque	cuchivague (6)(0.8696969548861185): cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
castellanos	castellanos (13)(0.8257575780153275): casteblanco, casteblancoo, castelanco, castelblanco, castellamos, castellano, castellanos, castellejo, castellenos, castelllanos, castllanos, catellanos, cstellanos
aperador	aperador (1)(1.0): aperador
hernnadez	hernandez (15)(0.8555555542310079): ernandez, fernadez, fernandez, fernanez, henandez, herandez, hernadez, hernanadez, hernande, hernandez, hernandz, hernanedz, hernendez, hernnadez, hrnandez
letrado	letrado (1)(1.0): letrado
urian	uran (3)(0.800000011920929): duran, uran, urian
bienco	bianco (3)(0.8333333134651184): bianco, bienco, blanco
mendiveso	mendivelso (3)(0.8999999761581421): meldivelso, mendivelso, mendiveso
prias	arias (6)(0.8166666626930237): airias, aria, arias, ariaz, farias, prias
falck	falck (1)(1.0): falck
safra	safra, zafra (2)(0.800000011920929): safra, zafra
pamplona	pamplona (1)(1.0): pamplona
rilvera	rilvera, rivera (2)(0.8571428656578064): rilvera, rivera
tarquino	tarquino (1)(1.0): tarquino
perilla	perilla, perrilla (2)(0.875): perilla, perrilla
mmartinez	martinez (15)(0.8379629651705424): amrtinez, maertinez, marinez, maritinez, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, matinez, mmartinez, mrtinez
villarraga	villaraga, villarraga (2)(0.8999999761581421): villaraga, villarraga
trilleras	ladrilleras, trilleras (2)(0.7272727489471436): ladrilleras, trilleras
cabrejo	careño (1)(1.0): careño
caviedes	cavieles (3)(0.875): cabieles, caviedes, cavieles
morerno	moreno (5)(0.8452380895614624): morelo, morenio, moreno, morenop, morerno
africano	africano, agfricano (2)(0.8888888955116272): africano, agfricano
saltarin	algarin, saltarin (2)(0.75): algarin, saltarin
carabuena	carabuena, carabueno (2)(0.8888888955116272): carabuena, carabueno
bohorequez	bohorquez (4)(0.8944444358348846): bhorquez, bohorequez, bohorque, bohorquez
granada	granda (5)(0.8452380895614624): granada, granda, grandas, grande, granja
ruge	ruge (1)(1.0): ruge
riveros	riveros (4)(0.8571428656578064): riberos, rivero, riveros, viveros
scarpetta	scarpetta (1)(1.0): scarpetta
barnier	barnier (1)(1.0): barnier
granda	granda (4)(0.8452380895614624): granada, granda, grandas, grande
pico	pico (3)(0.800000011920929): pico, picon, pisco
perico	paricio, perico (2)(0.7142857313156128): paricio, perico
losada	losada (3)(0.8333333134651184): losada, lozada, posada
combita	combriza (3)(0.8194444477558136): combariza, combita, combriza
canon	canon (4)(0.7571428716182709): canchon, cano, canon, cañon
mendi	mendes (5)(0.7499999701976776): mende, mendes, mendez, mendi, mendis
bottia	botia (4)(0.8333333134651184): bothia, botia, botina, bottia
adarbe	adarbe (4)(0.8452380895614624): adarbe, adarme, adarve, hadarbe
maxime	maxime (1)(1.0): maxime
carmargo	camargo (5)(0.8660714328289032): camarga, camargao, camargo, camoargo, carmargo
corregidor	corredor (7)(0.854629635810852): coredor, corrdedor, corredo, corredop, corredor, corregidor, correjidor
galan	galan (4)(0.8166666626930237): galan, galana, galvan, gañan
fuquen	fuquen (3)(0.8452380895614624): fuquen, fuquene, fuques
valderrama	valderrama (4)(0.8499999940395355): balderrama, valderra, valderrama, valderrma
hanke	hanke (1)(1.0): hanke
jacome	jacome (1)(1.0): jacome
coca	coca (1)(1.0): coca
menece	menece, meneses (2)(0.7142857313156128): menece, meneses
legizamon	leguizamon (6)(0.8499999940395355): legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
madarriaga	madarriaga (4)(0.7818181912104288): chavarriaga, madarriaga, marriaga, saldarriaga
tolosa	tolosa (3)(0.8333333134651184): solosa, tolosa, toloza
cardenas	cardenas (11)(0.8379629651705424): cadena, caedenas, caradenas, cardena, cardenal, cardenas, cardenass, cardens, cardernas, crdenas, crdens
dejoy	dejoy (1)(1.0): dejoy
ubaque	ausaque, auzaque, cubaque, ubaque (4)(0.761904776096344): ausaque, auzaque, cubaque, ubaque
guzaman	guzman (4)(0.8452380895614624): duzman, guaman, guzaman, guzman
muñoz	muñoz (5)(0.8166666626930237): moñoz, mulñoz, muñoaz, muños, muñoz
madero	madero (3)(0.7738095223903656): caldero, madera, madero
matheus	mateus (3)(0.8452380895614624): mateus, mateuz, matheus
sastre	sastre (3)(0.7738095223903656): maestre, sastre, satre
mosucha	mosucha, mozuca (2)(0.7142857313156128): mosucha, mozuca
cisnero	cisneros (4)(0.75): ciseri, cisnero, cisneros, sisneros
rodrguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
latriglia	latriglia (3)(0.8333333432674408): latrigia, latriglia, latrilla
machado	machado, macoalo (2)(0.7142857313156128): machado, macoalo
auzaque	ausaque, auzaque, cubaque, ubaque (4)(0.761904776096344): ausaque, auzaque, cubaque, ubaque
malva	malta, malva (2)(0.800000011920929): malta, malva
manrique	manrique (5)(0.8379629651705424): enrique, manrique, manrrique, marique, mnarique
rodriguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
naranja	naranja, naranjo (2)(0.8571428656578064): naranja, naranjo
sanbria	sanabria (7)(0.8379629651705424): canaria, sanabia, sanabria, sanabrias, sanabruia, sanbria, zanabria
montenero	montenegro (5)(0.8999999761581421): montenefro, montenegro, montenero, montengro, montnegro
motrovich	motrovich, motrovtch (2)(0.8888888955116272): motrovich, motrovtch
brrera	barrera (8)(0.8660714328289032): baarera, barrara, barreara, barreba, barrera, barrra, barrrera, brrera
juez	juez (1)(1.0): juez
cedeño	cedeño (1)(1.0): cedeño
arateca	arateca, arateco (2)(0.8571428656578064): arateca, arateco
guardia	guardia (5)(0.7857142984867096): guadia, guarain, guardia, guarin, guaydia
sanz	saez, sanz (2)(0.75): saez, sanz
nempeque	numpaque (5)(0.75): nempeque, nenpeque, nimpaque, numpaque, nunpaque
cañizales	cañizales (3)(0.8333333432674408): aizales, cañizales, cañizares
rincon	rincon (4)(0.8452380895614624): ricon, rincom, rincon, rincxon
pieto	pieto (3)(0.8166666626930237): nieto, pieto, prieto
atuesta	atuesta, atusta (2)(0.8571428656578064): atuesta, atusta
otiz	ortiz (7)(0.8166666626930237): artiz, ortin, ortis, ortix, ortiz, orytiz, otiz
rochereau	rochereau (1)(1.0): rochereau
bernal	bernal (5)(0.8333333134651184): benal, berna, bernal, brnal, vernal
pajaro	pajarito, pajaro (2)(0.75): pajarito, pajaro
pastran	pastran, pastrana (2)(0.875): pastran, pastrana
chico	chico (1)(1.0): chico
espejo	espejo (1)(1.0): espejo
tinedo	pinedo, tinedo (2)(0.8333333134651184): pinedo, tinedo
campbell	campbell (1)(1.0): campbell
ormaza	hormanza (4)(0.8125): armanza, hormanza, hormaza, ormaza
pacanchique	pacanchique (3)(0.8181818127632141): anchique, pacanahique, pacanchique
brando	brando (1)(1.0): brando
becquet	becquet (1)(1.0): becquet
espinos	espinosa (6)(0.8379629651705424): espiniosa, espinisa, espino, espinos, espinosa, espinoza
fuya	fuya, juya (2)(0.75): fuya, juya
bermudes	bermudez (3)(0.8819444477558136): bermudes, bermudez, bermundez
varelas	varelas (1)(1.0): varelas
aguepo	agudelo (4)(0.8154761989911398): agudela, agudello, agudelo, aguepo
cordero	cordero (1)(1.0): cordero
piambo	piambo (1)(1.0): piambo
alfanso	alfonso (5)(0.8571428656578064): alfanso, alfonso, alfonzo, alfoso, alonso
martinaz	martinez (14)(0.8379629651705424): maertinez, marinez, maritinez, martienz, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, matinez, mmartinez
comezaquira	comesaquira, comezaquira (2)(0.9090908765792847): comesaquira, comezaquira
borda	bora, borda, borja (3)(0.800000011920929): bora, borda, borja
petro	pedro, petro (2)(0.800000011920929): pedro, petro
waked	waked (1)(1.0): waked
navarro	navarro (3)(0.8035714328289032): chavarro, navarra, navarro
garay	garay (1)(1.0): garay
benavide	benavides (9)(0.8333333432674408): banavides, banavidez, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
ladino	ladino (3)(0.8452380895614624): aladino, ladino, latino
arevalo	arevalo (3)(0.8571428656578064): aravalo, arevalo, erevalo
avarez	alvarez (5)(0.8660714328289032): alvaraez, alvarez, alviarez, avarez, lvarez
aqvila	avila (4)(0.8166666626930237): aqvila, avila, avla, davila
hoyos	hoyos, huyos (2)(0.800000011920929): hoyos, huyos
sambrano	sambrano (5)(0.8009259303410848): lambraño, sambrano, sambraño, zamabrano, zambrano
calderon	calderon (4)(0.8379629651705424): caldero, calderon, calero, cañlderon
fragozo	fragozo (1)(1.0): fragozo
acheverria	echeverria (9)(0.8696969548861185): acheverria, cheverria, eceheverria, echavarria, echecerria, echevarria, echeverri, echeverria, echeverrria
julio	julio, pulio (2)(0.800000011920929): julio, pulio
poches	poches (1)(1.0): poches
aranque	araque (4)(0.7857142686843872): aranque, araque, arauqe, arque
sabogal	sabogal, saboya (2)(0.7142857313156128): sabogal, saboya
gillen	guillen (5)(0.8660714328289032): gillen, guillen, guilleng, guillent, guillin
lima	lima, limas (2)(0.800000011920929): lima, limas
fula	fula (3)(0.7750000059604645): fula, fulla, tula
matamoros	matamoros (1)(1.0): matamoros
ribero	ribero, riberos (2)(0.8571428656578064): ribero, riberos
felizzola	felizzola (1)(1.0): felizzola
girata	cirata, girata (2)(0.8333333134651184): cirata, girata
honojosa	hinojosa, honojosa (2)(0.875): hinojosa, honojosa
cahverra	cahverra, chaverra (2)(0.75): cahverra, chaverra
grisalez	grisalez (3)(0.875): grisales, grisalez, grizalez
lammoglia	lammoglia, lamonglia (2)(0.7777777910232544): lammoglia, lamonglia
forero	forero (3)(0.8333333134651184): foreo, forer, forero
benvides	benavides (8)(0.8888888955116272): banavides, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
avla	avila (4)(0.8166666626930237): aqvila, avila, avla, davila
lache	lache (3)(0.800000011920929): fache, lach, lache
tibagan	tibana, tibata (3)(0.7142857313156128): tibagan, tibana, tibata
chilan	chillan (3)(0.8571428656578064): chilan, chillan, chillon
antonio	antonio, deantonio (2)(0.7777777910232544): antonio, deantonio
viedma	viedma (1)(1.0): viedma
baldion	baldion (1)(1.0): baldion
zamudio	zamudio (3)(0.8571428656578064): samudio, zamidio, zamudio
cristanncho	cristancho (6)(0.9045454263687134): chistancho, cristacho, cristancho, cristanncho, critancho, tristancho
sauarez	suarez (3)(0.8571428656578064): sauarez, suarez, suzarez
triana	triana, triano (2)(0.8333333134651184): triana, triano
pvnto	pinto (4)(0.8166666626930237): pinato, pino, pinto, pvnto
espitia	espitia (8)(0.7857142984867096): epitia, esitia, espiita, espiti, espitia, espitua, esptia, ospitia
chistancho	cristancho (6)(0.9045454263687134): chistancho, cristacho, cristancho, cristanncho, critancho, tristancho
obando	obando (1)(1.0): obando
guebara	guebara, guevara (2)(0.8571428656578064): guebara, guevara
aguilera	aguilera, agulera (2)(0.875): aguilera, agulera
viveros	riveros (8)(0.7857142984867096): lineros, pineros, piñeros, riberos, rivero, riveros, vivero, viveros
dueñaz	dueñas, dueñaz, dueñes, dueñez (4)(0.7777777512868246): dueñas, dueñaz, dueñes, dueñez
costilla	castilla (4)(0.8125): bastilla, castilla, costilla, cstillo
montaña	montaña, montña (2)(0.8571428656578064): montaña, montña
sanabria	sanabria (7)(0.8379629651705424): canaria, sanabia, sanabria, sanabrias, sanabruia, sanbria, zanabria
comayande	comayan, comayande (2)(0.7777777910232544): comayan, comayande
quinche	quinche (3)(0.8571428656578064): quiche, quinche, quincho
opez	lopez (4)(0.8166666626930237): loopez, lopaz, lopez, opez
mesias	mesias (3)(0.8333333134651184): masias, mesia, mesias
yomayusa	yomayusa (4)(0.875): yamayusa, yemayusa, yomayusa, yomayuza
homes	holmes, homes (2)(0.8333333134651184): holmes, homes
nranjo	naranjo (5)(0.8571428656578064): narajo, naranj, naranja, naranjo, nranjo
carrero	carrero (1)(1.0): carrero
gauna	gaona (3)(0.8166666626930237): gahona, gaona, gauna
vaaliente	vaaliente, valiente (2)(0.8888888955116272): vaaliente, valiente
sotaqira	sotaquira (5)(0.8333333432674408): sotaqira, sotaquira, sotquira, zetaquira, zotaquira
jurada	jurada, jurado (2)(0.8333333134651184): jurada, jurado
kusguen	cusguen (3)(0.8571428656578064): cusguen, cusquen, kusguen
asprilla	lasprilla (3)(0.8333333432674408): asprilla, lasprilla, latrilla
berrio	berrio (1)(1.0): berrio
amar	amar (1)(1.0): amar
arias	arias (5)(0.8166666626930237): airias, aria, arias, ariaz, farias
guavita	guavita (4)(0.8660714328289032): guaita, guavita, iguavita, suavita
viazus	viasus, viazus (2)(0.8333333134651184): viasus, viazus
jerez	jeres, jerez (4)(0.7000000178813934): gerez, jeres, jerez, peres
acera	acera (1)(1.0): acera
monroy	monroy (4)(0.8452380895614624): monroy, monrpy, monrroy, moroy
florin	florian (6)(0.8154761989911398): floria, florian, floriano, florida, florido, florin
alvrez	alvarez (8)(0.8154761989911398): alferez, alvaraez, alvares, alvarez, alviarez, alvrez, avarez, lvarez
zipa	zipa (1)(1.0): zipa
coronel	carbonel (3)(0.8194444477558136): carbonel, carbonell, coronel
diza	ciza, diza, iza, oiza, siza (5)(0.75): ciza, diza, iza, oiza, siza
salijnas	salinas (3)(0.8660714328289032): salijnas, salina, salinas
caceres	caceres (4)(0.8660714328289032): caceres, caceress, cacerez, caseres
cala	cala, chala (2)(0.800000011920929): cala, chala
bajarano	bajarano, bejarano (2)(0.875): bajarano, bejarano
pote	cote, lote, pote (3)(0.75): cote, lote, pote
tay	tuay (3)(0.7750000059604645): tay, tuay, tumay
suancha	sanche, sanchea (2)(0.8571428656578064): sanche, sanchea
vallejos	vallejo (4)(0.8660714328289032): ballejo, vallejo, vallejos, vellejo
sandobal	sandoval (3)(0.875): saldoval, sandobal, sandoval
moralez	morales (3)(0.8660714328289032): molrales, morales, moralez
retiga	retiga (3)(0.7857142984867096): presiga, reatiga, retiga
morante	morante, morantes (2)(0.875): morante, morantes
huertaz	huertas (6)(0.7857142984867096): huerta, huertas, huertaz, hurtas, puerta, puertas
coral	coral (1)(1.0): coral
supalano	supalano, supelano (2)(0.875): supalano, supelano
mueses	meneses, mueses (2)(0.7142857313156128): meneses, mueses
llañes	llanes (3)(0.8333333134651184): llanes, llanos, llañes
donosso	donoso, donosso (2)(0.8571428656578064): donoso, donosso
seidiza	seidiza (1)(1.0): seidiza
sarmeinto	sarmiento (4)(0.7979798018932343): sarmeinto, sarmiento, sarmineto, sarmrmiento
laguna	laguna (3)(0.7857142984867096): laguna, lagunas, paguana
brinez	brinez (3)(0.7738095223903656): brinez, briñez, marinez
paerez	paerez (3)(0.7738095223903656): cacerez, paerez, perez
patrice	patrice (1)(1.0): patrice
vargs	vargas (8)(0.7857142686843872): varags, varas, varga, vargas, vargs, vargsa, vasrgas, vcargas
guaje	guaje (1)(1.0): guaje
cuellar	cuellar, cuellas (3)(0.7142857313156128): cuellar, cuellas, cuello
reapira	reapira, riapira (2)(0.8571428656578064): reapira, riapira
rodlriguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
rosas	rosas (3)(0.800000011920929): rodas, rosa, rosas
yanken	yanken, yanquen (2)(0.7142857313156128): yanken, yanquen
niampira	riapira (4)(0.8035714328289032): niampira, reapira, riapira, ñiampira
urrego	urrego (4)(0.7738095223903656): borrego, orrego, urrega, urrego
siatama	siatama, siatame (2)(0.8571428656578064): siatama, siatame
portocarrero	portocarrero (1)(1.0): portocarrero
dulcey	dulce, dulcey (2)(0.8333333134651184): dulce, dulcey
barco	marco (3)(0.8166666626930237): barco, marco, marcos
rogeles	rogeles (3)(0.7857142984867096): rogeles, rosales, rugeles
soto	soto (3)(0.7750000059604645): sopo, sotgo, soto
mallungo	mallungo (1)(1.0): mallungo
cerquera	cerquera, cervera (2)(0.75): cerquera, cervera
zarabanda	zarabanda (3)(0.8333333432674408): sarabanda, zabaranda, zarabanda
cañuela	cañuela (1)(1.0): cañuela
pastrana	pastran, pastrana (2)(0.875): pastran, pastrana
navia	navia (3)(0.800000011920929): nava, navia, nivia
baarera	barrera (8)(0.8660714328289032): baarera, barrara, barreara, barreba, barrera, barrra, barrrera, brrera
olivos	oliveros (3)(0.8125): olivero, oliveros, olivos
tovar	tovar (4)(0.800000011920929): tavar, tobar, tova, tovar
mayoral	mayoral (1)(1.0): mayoral
cepedas	cepeda (6)(0.8452380895614624): ceepeda, cepeda, cepedas, ncepeda, sepeda, vepeda
gorrais	gorrais (5)(0.7857142984867096): borras, gorrais, gorraiz, morris, porras
cucachon	cucanchon (3)(0.8333333432674408): canchon, cucachon, cucanchon
echeverrria	echeverria (9)(0.8696969548861185): acheverria, cheverria, eceheverria, echavarria, echecerria, echevarria, echeverri, echeverria, echeverrria
carpintero	carpintero (1)(1.0): carpintero
rozo	rozo (1)(1.0): rozo
vanegaz	vanegas, vanegaz (2)(0.8571428656578064): vanegas, vanegaz
gamero	camero (7)(0.8134920597076416): calero, cambero, camberos, camejo, camelo, camero, gamero
anchique	pacanchique (3)(0.8181818127632141): anchique, pacanahique, pacanchique
duret	duret (1)(1.0): duret
grosclaude	grosclaude (1)(1.0): grosclaude
basto	basto, pasto (2)(0.800000011920929): basto, pasto
olivero	olivero (4)(0.8660714328289032): olivera, oliverio, olivero, oliveros
chipata	chipata, chivata (2)(0.8571428656578064): chipata, chivata
paris	aris, paris (2)(0.800000011920929): aris, paris
renas	arenas, renas (3)(0.7142857313156128): arenas, crdenas, renas
rabon	rabon (3)(0.800000011920929): rabon, ramon, ribon
aissa	sissa (4)(0.800000011920929): aissa, sisa, sissa, sossa
salanmanca	salamanca (9)(0.8555555542310079): salamamca, salamanaca, salamanca, salamca, salamnca, salanmanca, salmanca, slamanca, solamanca
latino	latino (5)(0.7738095223903656): aladino, ladino, latino, paatino, patino
velazquez	velasquez (5)(0.8333333432674408): velasques, velasquez, velasquz, velazques, velazquez
pasachoa	pasachoa (6)(0.828472226858139): cayachoa, copasachoa, cupasachoa, pasacho, pasachoa, pasachoba
baustista	bautista (6)(0.8379629651705424): batista, baustista, bautisat, bautisata, bautista, bautistya
tibamozo	tibamoso (4)(0.8125): tibamoso, tibamozo, tibanoso, tibasosa
viracacha	viracacha (1)(1.0): viracacha
canchon	canchon (1)(1.0): canchon
wills	wiles, wills (2)(0.800000011920929): wiles, wills
arroyave	arroyabe, arroyave (2)(0.875): arroyabe, arroyave
mestizo	mestizo (1)(1.0): mestizo
yagama	diagama, yagama (2)(0.7142857313156128): diagama, yagama
guilar	aguilar (3)(0.8571428656578064): agilar, aguilar, guilar
sendales	cendales, sendales (2)(0.875): cendales, sendales
galicia	galicia (4)(0.7142857313156128): galicia, garcia, gavidia, gaviria
presiga	retiga (3)(0.7857142984867096): presiga, reatiga, retiga
guayabo	guayabo, guayara (2)(0.7142857313156128): guayabo, guayara
ceija	ceija (1)(1.0): ceija
sanabia	sanabria (7)(0.8379629651705424): canaria, sanabia, sanabria, sanabrias, sanabruia, sanbria, zanabria
bothia	botia (4)(0.8333333134651184): bothia, botia, botina, bottia
umaña	umaña (3)(0.8166666626930237): humaña, umaña, uraña
veron	veron (4)(0.800000011920929): ceron, seron, varon, veron
aguas	aguas (1)(1.0): aguas
leguzamon	leguizamon (6)(0.8499999940395355): legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
cative	cative (4)(0.7738095223903656): cativa, cative, chativa, cutive
baron	baron, taron, varon (3)(0.800000011920929): baron, taron, varon
peraza	pedraza, peraza (2)(0.8571428656578064): pedraza, peraza
carmen	carmen (3)(0.7738095223903656): camen, cardens, carmen
mijica	majica, mijica (6)(0.7499999701976776): majia, majica, mijia, mijica, mojica, mujica
gomzalez	gonzalez (11)(0.8819444477558136): ganzalez, gomzalez, gonazalez, gonzale, gonzalea, gonzales, gonzalez, gonzalñez, gonzaqlez, gonzxalez, gozalez
leguizamon	leguizamon (6)(0.8499999940395355): legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
mondragon	mondragon (1)(1.0): mondragon
cuchango	cuchango (1)(1.0): cuchango
nonzoque	nonzoque (5)(0.8125): monsoque, monzoque, nonsoque, nonzaque, nonzoque
dalllos	dalllos, dallos (2)(0.8571428656578064): dalllos, dallos
tibidor	tibidor, tividor (2)(0.8571428656578064): tibidor, tividor
neuta	neuta (3)(0.800000011920929): neita, neuta, teuta
alcocer	alcocer, balcacer (2)(0.75): alcocer, balcacer
cadavid	cadavid, david (2)(0.7142857313156128): cadavid, david
pino	fino, pino (2)(0.75): fino, pino
concho	concho, corcho (2)(0.8333333134651184): concho, corcho
ronderos	ronderos (1)(1.0): ronderos
barrerto	barrero (7)(0.8154761989911398): barreiro, barrero, barrerto, barreto, berreto, carrero, marrero
pava	pava (3)(0.800000011920929): paiva, pava, pavas
acuña	acuña, auña (2)(0.800000011920929): acuña, auña
alvarao	alvarao, alvardo (4)(0.8660714328289032): alvarado, alvarao, alvardo, alvaro
monastoque	monsoque (4)(0.8375000059604645): monastoque, monsoque, monzoque, nonsoque
payares	payares, vacares (2)(0.7142857313156128): payares, vacares
cicua	sicua (3)(0.800000011920929): cicua, sicua, sigua
linares	linares, linarez (2)(0.8571428656578064): linares, linarez
florz	florez (5)(0.7857142686843872): flor, flores, florez, florz, folorez
cufino	cufino, cufiño (2)(0.8333333134651184): cufino, cufiño
bourdon	bourdon (3)(0.7142857313156128): borbon, bourdon, cordon
bautista	bautista (6)(0.8379629651705424): batista, baustista, bautisat, bautisata, bautista, bautistya
rebolleso	rebolledo, rebolleso (2)(0.8888888955116272): rebolledo, rebolleso
corozo	corozo, corzo (2)(0.8333333134651184): corozo, corzo
talero	balero, calero (7)(0.8015873034795126): alero, balcero, balero, caldero, calero, talero, valero
samaniego	samaniego (1)(1.0): samaniego
prña	peña, piña, prña (3)(0.75): peña, piña, prña
eusse	eusse (1)(1.0): eusse
guezguan	guesguan, guezguan, queguan, quenguan (4)(0.7916666666666666): guesguan, guezguan, queguan, quenguan
montealegre	montenegro (6)(0.8136363625526428): montealegre, montenefro, montenegro, montenero, montengro, montnegro
anguta	anguta (1)(1.0): anguta
tensa	tensa (3)(0.800000011920929): mensa, tensa, tenza
florian	florian (6)(0.8154761989911398): floria, florian, floriano, florida, florido, florin
cuitiva	chativa, chitiva, cuitiva (5)(0.7714285850524902): cativa, chativa, chitiva, cuitiva, cutiva
guierrez	gutierrez (11)(0.8555555542310079): gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
prada	prada (5)(0.7825396855672201): paarada, parada, prada, prado, rada
tijo	tijo (1)(1.0): tijo
vasquez	vasquez (6)(0.7857142984867096): basquez, maquez, vaquez, vasques, vasquez, vazquez
farfen	farfan (4)(0.8452380895614624): fafan, farfan, farfen, fartfan
bonolla	bonilla, bonolla (4)(0.7857142984867096): binilla, bogolla, bonilla, bonolla
patino	patino (4)(0.8452380895614624): latino, paatino, patini, patino
oyola	orola, oyola (2)(0.800000011920929): orola, oyola
camahco	camaho (4)(0.8452380895614624): camahco, camaho, camayo, camaño
troncoso	troncoso (1)(1.0): troncoso
salbornoz	albornoz (3)(0.8819444477558136): albornos, albornoz, salbornoz
calvijo	calvijo (1)(1.0): calvijo
chivata	chipata, chivata (2)(0.8571428656578064): chipata, chivata
candela	candela (1)(1.0): candela
tunjacipa	tunjacipa (1)(1.0): tunjacipa
corzp	corzo (4)(0.8166666626930237): corozo, corso, corzo, corzp
rave	rave (1)(1.0): rave
ricuaurte	ricaurte (3)(0.8819444477558136): ricaurte, ricaute, ricuaurte
piraguata	piraguta (4)(0.8819444477558136): piragauta, piragua, piraguata, piraguta
humba	qumba (4)(0.8166666626930237): humba, quemba, qumba, umba
peñalosa	peñalosa, peñaloza (2)(0.875): peñalosa, peñaloza
marcipe	mancipe, marcipe (2)(0.8571428656578064): mancipe, marcipe
turga	turca, turga (2)(0.800000011920929): turca, turga
amariz	amaris, amariz (2)(0.8333333134651184): amaris, amariz
chaco	chaco (3)(0.8166666626930237): chaco, chacon, chico
sorazipa	soracipa, sorazipa (2)(0.875): soracipa, sorazipa
tegua	cegua, segua, tegua (3)(0.800000011920929): cegua, segua, tegua
rogriguez	rodriguez (27)(0.8555555542310079): odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
catro	catro (4)(0.7825396855672201): cantero, caro, castro, catro
cascante	cascante (1)(1.0): cascante
chaquea	chaquea (1)(1.0): chaquea
arismendi	arismendy (4)(0.8888888955116272): arismende, arismendi, arismendy, arizmendy
camen	camen (3)(0.8166666626930237): came, camen, carmen
sepulvda	sepulvada, sepulvda, sepulveda (3)(0.8888888955116272): sepulvada, sepulvda, sepulveda
ragua	cagua, dagua, ragua (3)(0.800000011920929): cagua, dagua, ragua
nocobe	nocove (3)(0.8333333134651184): nocobe, nocove, nopove
munera	munera (1)(1.0): munera
alturo	alturo, arturo (2)(0.8333333134651184): alturo, arturo
